directive_combination_id,representative_record_id,canonical_smiles,exact_monomer_name,solvent_name,solvent_system,supporting_electrolyte,measurement_count,clean_cv_agagcl_onset_count,clean_cv_agagcl_peak_count,native_fc_count,production_current_count,production_correction_required_count,staging_or_external_count,directive_quantity_eligible,has_current_pipeline_comparable,onset_profile_eligible,peak_profile_eligible,native_fc_profile_eligible,best_record_id,best_master_label_class,coverage_status,blocking_issue
combo-1d2cc6525b23ccbd,PROD001,c1ccsc1,thiophene,acetonitrile,0.1 M TBABF4/acetonitrile,0.1 M TBABF4,1,0,1,0,1,0,0,True,True,False,True,False,PROD001,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-237ba1f0dc8d7785,PROD032,O=c1[nH][nH]c(=O)c2c(-c3cccs3)n(-c3ccccc3)c(-c3cccs3)c12,"6-phenyl-5,7-di(thiophen-2-yl)-2,3-dihydro-1H-pyrrolo[3,4-d]pyridazine-1,4(6H)-dione (cpd 6)",acetonitrile,0.1 M LiClO4/acetonitrile,0.1 M LiClO4,1,0,1,0,1,0,0,True,True,False,True,False,PROD032,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-24dcfc7466f0877e,PROD036,Cc1cc[se]c1,3-methylselenophene,DCM,TBAPF6/dichloromethane,TBAPF6,1,1,0,0,1,0,0,True,True,True,False,False,PROD036,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-2609d57adaef7df0,PROD028,CCn1c2ccc(-c3ccco3)cc2c2cc(-c3ccco3)ccc21,"3,6-di(2-furyl)-9-ethyl-carbazole (M2)",acetonitrile,0.1 M TBAH/acetonitrile,0.1 M TBAH (TBAPF6),1,0,1,0,1,0,0,True,True,False,True,False,PROD028,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-2930f5533919166c,PROD023,CCCCC(CC)CN1C(=O)c2c(-c3cccs3)sc(-c3cccs3)c2C1=O,"TTPT (5-(2-ethylhexyl)-1,3-di(thiophen-2-yl)-thieno[3,4-c]pyrrole-4,6-dione)",DCM,0.1 M TBAH/dichloromethane,0.1 M TBAH (TBAPF6),2,1,1,0,2,0,0,True,True,True,True,False,PROD024,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-3065302d77a66e9e,PROD002,COc1ccsc1OC,"3,4-dimethoxythiophene",acetonitrile,0.1 M TBABF4/acetonitrile,0.1 M TBABF4,1,0,1,0,1,0,0,True,True,False,True,False,PROD002,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-337dc6e0e486e12e,EXT_NANO2024_CBP,,CBP,acetonitrile,acetonitrile,0.1 M TBAP,1,0,0,0,0,0,1,False,False,False,False,False,EXT_NANO2024_CBP,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/AgNO3 reference unresolved for current Ag/AgCl profile.
combo-33eb572ed2333865,PROD010,c1ccsc1,thiophene,DCM,0.1 M TBAPF6/dichloromethane,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD010,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-36521627d0380f92,EXT_BIFURAN_POLARIZATION,c1coc(-c2ccoc2)c1,"2,2'-bifuran",DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_BIFURAN_POLARIZATION,NON_CV_POLARIZATION_ONSET,NON_CV_METHOD_PARKED,"Method is anodic polarization, not clean CV."
combo-36ee4ac717a8daa2,EXT_IJMS2023_IDOD_3HT,,IDOD-3HT,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_IJMS2023_IDOD_3HT,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,Exact per-monomer Eonset values and structures require manual table normalization.
combo-3a92aee5a6367238,R12,Cc1csc(-c2cnc(-c3cc(C)cs3)c3nsnc23)c1,"4,7-bis(4-methylthiophen-2-yl)-[1,2,5]thiadiazolo[3,4-c]pyridine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R12,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.
combo-3ea151fc90a4424a,EXT_ZHU_M1,,Zhu 2017 monomer M1,DCM/ACN,DCM/ACN,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M1,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.
combo-3eaa74735cde40e9,PROD009,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,alpha-sexithiophene,acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD009,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-4041b80292fa5327,PROD033,c1cc2[nH]c3ccsc3c2s1,"dithieno[3,2-b:2',3'-d]pyrrole",acetonitrile,0.1 M TEAP/acetonitrile,0.1 M TEAP,1,0,1,0,1,0,0,True,True,False,True,False,PROD033,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-43126403ddb37793,EXT_EDOS_PC_TBACLO4,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",propylene carbonate,propylene carbonate,0.1 M TBAClO4,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_PC_TBACLO4,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
combo-459c398a9d7df94a,EXT_NANO2025_4BD_EDOT,,4BD-EDOT,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_NANO2025_4BD_EDOT,NON_CV_POLARIZATION_ONSET,NON_CV_METHOD_PARKED,Method is anodic polarization and structures are not normalized here.
combo-45aaa6a4a865de96,PROD029,c1coc(-c2ccc3c(c2)[nH]c2cc(-c4ccco4)ccc23)c1,"2,7-di(2-furyl)-9H-carbazole (M3)",acetonitrile,0.1 M TBAH/acetonitrile,0.1 M TBAH (TBAPF6),1,0,1,0,1,0,0,True,True,False,True,False,PROD029,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-45b7b6c87f3a54bf,PROD030,CCCCCCC(CCCCCC)n1c2cc(-c3ccco3)ccc2c2ccc(-c3ccco3)cc21,"2,7-di(2-furyl)-9-(tridecan-7-yl)-9H-carbazole (M4)",acetonitrile,0.1 M TBAH/acetonitrile,0.1 M TBAH (TBAPF6),1,0,1,0,1,0,0,True,True,False,True,False,PROD030,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-4704d73795c09a38,EXT_TF_ONSET,c1coc(-c2cccs2)c1,2-(2-thienyl)furan,acetonitrile,acetonitrile,0.2 M LiClO4,1,1,0,0,0,0,1,True,True,True,False,False,EXT_TF_ONSET,CLEAN_CV_ONSET_AGAGCL,NEW_ELIGIBLE_PROPOSAL,
combo-478075edb5962e7d,R17,CCCCCCCCCCOc1ccc(-c2nc3c(-c4scc5c4OCCO5)cnc(-c4scc5c4OCCO5)c3nc2-c2ccc(OCCCCCCCCCC)cc2)cc1,"2,3-bis(4-decyloxyphenyl)-5,8-bis(2,3-dihydrothieno[3,4-b][1,4]dioxin-7-yl)pyrido[4,3-b]pyrazine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R17,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction."
combo-4b39a8327f6144e5,PROD014,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,alpha-sexithiophene,DCM,0.1 M TBAPF6/dichloromethane,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD014,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-4e6fb4d011ad492e,EXT_BTP_ONSET,c1csc(-c2cccs2)c1,"2,2'-bithiophene",acetonitrile,acetonitrile,0.2 M LiClO4,1,1,0,0,0,0,1,True,True,True,False,False,EXT_BTP_ONSET,CLEAN_CV_ONSET_AGAGCL,NEW_ELIGIBLE_PROPOSAL,
combo-528282e7ff58b307,EXT_EDOS_PC_TBABF4,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",propylene carbonate,propylene carbonate,0.1 M TBABF4,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_PC_TBABF4,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
combo-5383a50a9635fdc9,R14,CCCCCCCCCCOc1ccc(-c2nc3c(-c4cccs4)cnc(-c4cccs4)c3nc2-c2ccc(OCCCCCCCCCC)cc2)cc1,"2,3-bis(4-decyloxyphenyl)-5,8-bis(thiophen-2-yl)pyrido[4,3-b]pyrazine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R14,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction."
combo-567675b70763973b,PROD004,COc1sccc1Br,3-bromo-4-methoxythiophene,acetonitrile,0.1 M TBABF4/acetonitrile,0.1 M TBABF4,1,0,1,0,1,0,0,True,True,False,True,False,PROD004,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-56bac97cda52964d,EXT_ZHU_M7,,Zhu 2017 monomer M7,CHCl3/ACN,CHCl3/ACN,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M7,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.
combo-5a7da977c7dbdf3f,PROD013,c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,"2,2':5',2'':5'',2'''-tetrathiophene",DCM,0.1 M TBAPF6/dichloromethane,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD013,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-625da38f828ceb87,PROD020,c1c[se]c(-c2ccc(-c3ccc[se]3)c3n[se]nc23)c1,"SeSeSe (4,7-di(selenophen-2-yl)benzo[c][1,2,5]selenadiazole)",DCM,0.1 M TBA salt (UNVERIFIED)/dichloromethane,0.1 M TBA salt (UNVERIFIED),1,0,1,0,1,0,0,True,True,False,True,False,PROD020,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-63362df9082ada22,PROD038,CCc1ccc2c(c1)[nH]c1ccccc12,3-ethylcarbazole,acetonitrile,acetonitrile,,1,0,1,0,1,0,0,True,True,False,True,False,PROD038,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-64f0f2ed5b958169,EXT_DTC_ONSET,c1csc(-c2ccc3[nH]c4ccc(-c5cccs5)cc4c3c2)c1,"3,6-di(2-thienyl)carbazole",acetonitrile,acetonitrile,0.2 M LiClO4,1,1,0,0,0,0,1,True,True,True,False,False,EXT_DTC_ONSET,CLEAN_CV_ONSET_AGAGCL,NEW_ELIGIBLE_PROPOSAL,
combo-6b1146c2c46d2fc1,EXT_FUPY_ONSET,c1coc(Cn2cccc2)c1,N-furfuryl pyrrole,acetonitrile,acetonitrile,0.1 M Bu4NClO4,1,1,0,0,0,0,1,True,True,True,False,False,EXT_FUPY_ONSET,CLEAN_CV_ONSET_AGAGCL,NEW_ELIGIBLE_PROPOSAL,
combo-6e6c66005115a4f3,EXT_ZHU_M5,,Zhu 2017 monomer M5,DCM,DCM,0.1 M TBAPF6,1,0,0,1,0,0,1,False,False,False,False,False,EXT_ZHU_M5,CLEAN_CV_ONSET_NATIVE_FC,PARKED,Exact machine-auditable structure not normalized; retain native Fc track only.
combo-6fc1d352f3578f22,R13,CCCCc1csc(-c2cnc(-c3cc(CCCC)cs3)c3nsnc23)c1,"4,7-bis(4-butylthiophen-2-yl)-[1,2,5]thiadiazolo[3,4-c]pyridine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R13,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.
combo-73592660fe90dd4d,PROD016,c1coc(-c2ccc(-c3ccco3)c3nsnc23)c1,"FSF (4,7-di(furan-2-yl)benzo[c][1,2,5]thiadiazole)",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,1,0,1,0,0,True,True,False,True,False,PROD016,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-79857574e55491e4,R15,CCCCCCCCCCOc1ccc(-c2nc3c(-c4cc(CCCC)cs4)cnc(-c4cc(CCCC)cs4)c3nc2-c2ccc(OCCCCCCCCCC)cc2)cc1,"2,3-bis(4-decyloxyphenyl)-5,8-bis(4-butylthiophen-2-yl)pyrido[4,3-b]pyrazine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R15,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction."
combo-7cf670ae95a968a8,EXT_ZHU_M6,,Zhu 2017 monomer M6,DCM,DCM,0.1 M TBAPF6,1,0,0,1,0,0,1,False,False,False,False,False,EXT_ZHU_M6,CLEAN_CV_ONSET_NATIVE_FC,PARKED,Exact machine-auditable structure not normalized; retain native Fc track only.
combo-7de6d198f53f8809,PROD034,Cc1ccsc1,3-methylthiophene,acetonitrile,TBA salt/acetonitrile,TBA salt (conc. not stated),1,1,0,0,1,0,0,True,True,True,False,False,PROD034,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-7e352e5cfbe42e8d,PROD011,c1csc(-c2cccs2)c1,"2,2'-bithiophene",DCM,0.1 M TBAPF6/dichloromethane,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD011,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-7ef15fde40e7aa37,EXT_NANO2024_TCB,,TCB,acetonitrile,acetonitrile,0.1 M TBAP,1,0,0,0,0,0,1,False,False,False,False,False,EXT_NANO2024_TCB,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/AgNO3 reference unresolved for current Ag/AgCl profile.
combo-814fed363d566f68,EXT_ZHU_M9,,Zhu 2017 monomer M9,DCM,DCM,0.1 M TBAPF6,1,0,0,1,0,0,1,False,False,False,False,False,EXT_ZHU_M9,CLEAN_CV_ONSET_NATIVE_FC,PARKED,Exact machine-auditable structure not normalized; retain native Fc track only.
combo-865ce14a1dc587f4,PROD017,c1coc(-c2c3ccccc3c(-c3ccco3)c3ccccc23)c1,"DFA (9,10-di(furan-2-yl)anthracene)",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,1,0,1,0,0,True,True,False,True,False,PROD017,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-8f77171af493b8a1,EXT_TERFURAN_POLARIZATION,c1coc(-c2coc(-c3ccoc3)c2)c1,"2,2':5',2''-terfuran",DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_TERFURAN_POLARIZATION,NON_CV_POLARIZATION_ONSET,NON_CV_METHOD_PARKED,"Method is anodic polarization, not clean CV."
combo-9423dbcc19e29d46,EXT_ZHU_M4,,Zhu 2017 monomer M4,DCM,DCM,0.1 M TBAPF6,1,0,0,1,0,0,1,False,False,False,False,False,EXT_ZHU_M4,CLEAN_CV_ONSET_NATIVE_FC,PARKED,Exact machine-auditable structure not normalized; retain native Fc track only.
combo-968a038fad82a4eb,EXT_ALKYNEDTP_ONSET,C#CCCCn1c2sccc2c2ccsc21,"N-but-3-ynyl dithieno[3,2-b:2',3'-d]pyrrole",acetonitrile,acetonitrile,0.1 M TBAPF6,1,1,0,0,0,0,1,True,True,True,False,False,EXT_ALKYNEDTP_ONSET,CLEAN_CV_ONSET_AGAGCL,NEW_ELIGIBLE_PROPOSAL,
combo-969cc520ce250be4,PROD025,CCCCC(CC)CN1C(=O)c2c(-c3ccc[se]3)sc(-c3ccc[se]3)c2C1=O,"STPS (5-(2-ethylhexyl)-1,3-di(selenophen-2-yl)-thieno[3,4-c]pyrrole-4,6-dione)",DCM,0.1 M TBAH/dichloromethane,0.1 M TBAH (TBAPF6),2,1,1,0,2,0,0,True,True,True,True,False,PROD026,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-9858b49f2d5fab4e,PROD019,c1csc(-c2ccc(-c3cccs3)c3n[se]nc23)c1,"SSeS (4,7-di(thiophen-2-yl)benzo[c][1,2,5]selenadiazole)",DCM,0.1 M TBA salt (UNVERIFIED)/dichloromethane,0.1 M TBA salt (UNVERIFIED),1,0,1,0,1,0,0,True,True,False,True,False,PROD019,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-9a2386cd2b75a4e6,PROD007,c1csc(-c2ccc(-c3cccs3)s2)c1,"2,2':5',2''-terthiophene",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD007,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-9a80c289a93007b0,PROD018,c1coc(-c2ccc(-c3ccco3)c3n[se]nc23)c1,"OSeO (4,7-di(furan-2-yl)benzo[c][1,2,5]selenadiazole)",DCM,0.1 M TBA salt (UNVERIFIED)/dichloromethane,0.1 M TBA salt (UNVERIFIED),1,0,1,0,1,0,0,True,True,False,True,False,PROD018,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-9d3a18fe85bbabf2,EXT_EDOS_ACN_TBACLO4,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",acetonitrile,acetonitrile,0.1 M TBAClO4,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_ACN_TBACLO4,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
combo-9d8c4a67c9a33b34,EXT_NANO2024_TPTCzSiOH,,TPTCzSiOH,acetonitrile,acetonitrile,0.1 M TBAP,1,0,0,0,0,0,1,False,False,False,False,False,EXT_NANO2024_TPTCzSiOH,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/AgNO3 reference unresolved for current Ag/AgCl profile.
combo-abfa1eebbb95eb56,R19,COc1ccc(-c2nc3c(-c4sccc4OC)ccc(-c4sccc4OC)c3nc2-c2ccc(OC)cc2)cc1,"2,3-bis(4-methoxyphenyl)-5,8-bis(3-methoxythiophen-2-yl)quinoxaline",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R19,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M."
combo-ad7b72f00429505d,EXT_FURAN_POLARIZATION,c1ccoc1,furan,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_FURAN_POLARIZATION,NON_CV_POLARIZATION_ONSET,NON_CV_METHOD_PARKED,"Method is anodic polarization, not clean CV."
combo-ae9077a3766f82db,EXT_EDOS_ACN_TBAPF6,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",acetonitrile,acetonitrile,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_ACN_TBAPF6,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
combo-b141784057ac7ebd,EXT_JELECHEM2015_PAYWALLED,,Electrochemical synthesis of new conjugated polymers based on carbazole and furan units,,,,1,0,0,0,0,0,1,False,False,False,False,False,EXT_JELECHEM2015_PAYWALLED,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,No lawful open PDF was retrieved; do not use for production ingest.
combo-b981b3c54e303f1d,PROD015,c1coc(-c2ccc(-c3ccco3)c3n[se]nc23)c1,"FSeF (4,7-di(furan-2-yl)benzo[c][1,2,5]selenadiazole)",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,1,0,1,0,0,True,True,False,True,False,PROD015,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-bdf9dc2566527948,PROD037,c1ccc(Nc2ccccc2)cc1,diphenylamine,acetonitrile,acetonitrile,,1,0,1,0,1,0,0,True,True,False,True,False,PROD037,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-c31ea9a1d6d882e3,EXT_NANO2025_3BD_EDOT,,3BD-EDOT,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_NANO2025_3BD_EDOT,NON_CV_POLARIZATION_ONSET,NON_CV_METHOD_PARKED,Method is anodic polarization and structures are not normalized here.
combo-c5cc75a6e6fb45c2,EXT_EDOS_ACN_TBABF4,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",acetonitrile,acetonitrile,0.1 M TBABF4,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_ACN_TBABF4,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
combo-cd5494f23c2a69e2,EXT_IJMS2023_IDOD_Th,,IDOD-Th,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_IJMS2023_IDOD_Th,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,Exact per-monomer Eonset values and structures require manual table normalization.
